sample_id,seed,method,method_variant,physics_informed,physics_projection,div_weight,eta,measurement_sigma,operator,noise_sigma,rel_l2,rmse,measurement_error,divergence,vorticity_rmse,run
traj1673_snap1,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0563369616866111,0.0143953561782836,1.7084781575249508e-05,0.0048401337116956,0.0513563677668571,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1686_snap21,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0598067045211792,0.0218017343431711,1.2728532965411432e-05,0.0069804117083549,0.0753923282027244,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1672_snap28,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0667595565319061,0.0274441242218017,1.1695455214066897e-05,0.0058780619874596,0.0960997119545936,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1607_snap36,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0536544285714626,0.0172781944274902,1.481573508499423e-05,0.0074866795912384,0.0596986748278141,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1774_snap5,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0636072307825088,0.0383099801838398,6.353015123750083e-06,0.0087859230116009,0.1270716786384582,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1650_snap36,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0654491558670997,0.0280739888548851,8.881635949364863e-06,0.0071610938757658,0.1037003025412559,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1779_snap32,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0601632446050643,0.0181651953607797,1.4706363799632529e-05,0.0048274686560034,0.0643611848354339,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1838_snap3,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0557390637695789,0.0213140919804573,1.3889273759559728e-05,0.0063401125371456,0.0755595117807388,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1827_snap1,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0572679676115512,0.0257353540509939,1.0413999007141683e-05,0.0048931119963526,0.0938169062137603,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1756_snap25,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0636665225028991,0.0282054878771305,1.0118859790964052e-05,0.0052516693249344,0.0990761891007423,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1728_snap20,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0634712427854538,0.021165981888771,1.2740204510919284e-05,0.0053587169386446,0.0755222663283348,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1646_snap7,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0511898137629032,0.0208720676600933,1.3306376786204057e-05,0.0070581473410129,0.0675388202071189,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1600_snap27,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0531307831406593,0.0229218732565641,1.1026449101336766e-05,0.0050650327466428,0.0754724964499473,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1727_snap17,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0563848167657852,0.0240755751729011,1.0266614481224678e-05,0.0039082216098904,0.0826329812407493,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1744_snap45,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.053634587675333,0.0201205238699913,1.4051809557713568e-05,0.0051918025128543,0.0688990727066993,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1695_snap48,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.055385161191225,0.0201910585165023,1.491639886808116e-05,0.0037719958927482,0.0683683231472969,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1631_snap38,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0577430911362171,0.0202154926955699,1.229789722856367e-05,0.0051400167867541,0.0705960541963577,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1688_snap31,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0644967779517173,0.0235645994544029,1.2931505807500798e-05,0.0136514315381646,0.0822324976325035,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1738_snap20,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0570278689265251,0.0248666740953922,1.136835908255307e-05,0.0058050141669809,0.0846817418932914,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1632_snap1,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0697682127356529,0.0304756164550781,1.1119623195554595e-05,0.0071053160354495,0.1085548624396324,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1654_snap34,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.066838227212429,0.0310359857976436,9.65659819485154e-06,0.0096191205084323,0.1071103885769844,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1764_snap48,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0581564381718635,0.0198950674384832,1.3518898413167337e-05,0.0052763507701456,0.069459818303585,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1627_snap42,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0539374239742755,0.0211587697267532,1.3760482033831067e-05,0.0077564539387822,0.0728732943534851,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
traj1672_snap34,0,ddrm,ddrm_physics,0,1,0.0,0.0,0.0,blur,0.0,0.0640863478183746,0.0262578055262565,1.0251295861962715e-05,0.0090384911745786,0.0894953906536102,runs_ddrm_colab/ddrm_phys_blur_full_val_eta0p0_n640_steps128_sigma4p0
